id,Nom du terril,Adresse exacte,Espace protégé ?,Commune,Organisme gestionnaire,Adresse organisme,Contact principal,Email,Téléphone,Déjà contacté ?,Prochaine relance,Gare la plus proche,Commune de la gare,Distance à pieds,Notes,Photo du terril
103,"Terril n°72A, Cavalier du 5 de Liévin",,UNESCO (à vérifier),Liévin,,,,,,,,,,,,
104,"Terril n°73, 18 de Lens",,UNESCO (à vérifier),Haisnes,,,,,,,,,,,,
105,"Terril n°73B, Cavalier du 18 de Lens",,UNESCO (à vérifier),Haisnes,,,,,,,,,,,,
106,"Terril n°74, 11 - 19 de Lens Est",,UNESCO (à vérifier),Loos-en-Gohelle,,,,,,,,,,,,
107,"Terril n°74A, 11 - 19 de Lens Ouest",,UNESCO (à vérifier),Loos-en-Gohelle,,,,,,,,,,,,
108,"Terril n°74B, 11 - 19 de Lens Nouveau",,UNESCO (à vérifier),Loos-en-Gohelle,,,,,,,,,,,,
109,"Terril n°75, Pinchonvalles",,UNESCO (à vérifier),Avion,,,,,,,,,,,,
110,"Terril n°76, 7 de Liévin",,UNESCO (à vérifier),Avion,,,,,,,,,,,,
111,"Terril n°77, 8 de Béthune",,UNESCO (à vérifier),Auchy-les-Mines,,,,,,,,,,,,
112,"Terril n°78, 15 de Lens",,UNESCO (à vérifier),Loos-en-Gohelle,,,,,,,,,,,,
113,"Terril n°78A, Cavalier du 15 de Lens",,UNESCO (à vérifier),Loos-en-Gohelle,,,,,,,,,,,,
114,"Terril n°79, 16 de Lens Est",,UNESCO (à vérifier),Loos-en-Gohelle,,,,,,,,,,,,
115,"Terril n°79A, 16 de Lens Ouest",,UNESCO (à vérifier),Loos-en-Gohelle,,,,,,,,,,,,
116,"Terril n°80, Abattoir Pont Ampère",,UNESCO (à vérifier),Liévin,,,,,,,,,,,,
117,"Terril n°80A, Garennes Pont Ampère",,UNESCO (à vérifier),Éleu-dit-Leauwette,,,,,,,,,,,,
118,"Terril n°80B, Cavalier Garennes Pont Ampère",,UNESCO (à vérifier),Éleu-dit-Leauwette,,,,,,,,,,,,
119,"Terril n°81, 5 de Lens Est",,UNESCO (à vérifier),Avion,,,,,,,,,,,,
120,"Terril n°81A, 5 de Lens Ouest",,UNESCO (à vérifier),Lens,,,,,,,,,,,,
121,"Terril n°82, 9 Nord de Courrières",,UNESCO (à vérifier),Courrières,,,,,,,,,,,,
122,"Terril n°82A, 9 Nord de Courrières",,UNESCO (à vérifier),Courrières,,,,,,,,,,,,
123,"Terril n°83, 7 - 19 Marais",,UNESCO (à vérifier),Fouquières-lez-Lens,,,,,,,,,,,,
124,"Terril n°84, 2 Sud de Drocourt",,UNESCO (à vérifier),Rouvroy,,,,,,,,,,,,
125,"Terril n°85, 3 Est de Dourges",,UNESCO (à vérifier),Hénin-Beaumont,,,,,,,,,,,,
